Name,Date,Absolute Category Rating - Fileset: Chopin x1,Absolute Category Rating - Fileset: Chopin x1,Absolute Category Rating - Fileset: Chopin x1,Absolute Category Rating - Fileset: Chopin x1,Absolute Category Rating - Fileset: Chopin x1,Absolute Category Rating - Fileset: Chopin x1,Absolute Category Rating - Fileset: Chopin x1,Absolute Category Rating - Fileset: Chopin x1,Absolute Category Rating - Fileset: Chopin x1,Degradation Category Rating - Fileset: Chopin_zestaw_bez_HR,Degradation Category Rating - Fileset: Chopin_zestaw_bez_HR,Degradation Category Rating - Fileset: Chopin_zestaw_bez_HR,Degradation Category Rating - Fileset: Chopin_zestaw_bez_HR,Degradation Category Rating - Fileset: Chopin_zestaw_bez_HR,Degradation Category Rating - Fileset: Chopin_zestaw_bez_HR,Degradation Category Rating - Fileset: Chopin_zestaw_bez_HR,Degradation Category Rating - Fileset: Chopin_zestaw_bez_HR,Degradation Category Rating - Fileset: Chopin_zestaw_bez_HR,MUSHRA - Fileset: Chopin MUSHRA 3,MUSHRA - Fileset: Chopin MUSHRA 3,MUSHRA - Fileset: Chopin MUSHRA 3,MUSHRA - Fileset: Chopin MUSHRA 3,MUSHRA - Fileset: Chopin MUSHRA 3,MUSHRA - Fileset: Chopin MUSHRA 3,MUSHRA - Fileset: Chopin MUSHRA 3,MUSHRA - Fileset: Chopin MUSHRA 3,MUSHRA - Fileset: Chopin MUSHRA 3,Comparison Category Rating - Fileset: Chopin_zestaw_bez_HR,Comparison Category Rating - Fileset: Chopin_zestaw_bez_HR,Comparison Category Rating - Fileset: Chopin_zestaw_bez_HR,Comparison Category Rating - Fileset: Chopin_zestaw_bez_HR,Comparison Category Rating - Fileset: Chopin_zestaw_bez_HR,Comparison Category Rating - Fileset: Chopin_zestaw_bez_HR,Comparison Category Rating - Fileset: Chopin_zestaw_bez_HR,Comparison Category Rating - Fileset: Chopin_zestaw_bez_HR,Comparison Category Rating - Fileset: Chopin_zestaw_bez_HR
Andrzej Tomala,"07/07/2022, 13:44:06",5.0,3.0,4.0,1.0,2.0,5.0,4.0,3.0,4.0,1.0,2.0,5.0,2.0,5.0,2.0,5.0,4.0,1.0,20.0,40.0,3.0,49.0,10.0,50.0,96.0,100.0,55.0,1.0,-1.0,-3.0,0.0,-2.0,3.0,-3.0,-1.0,2.0
Andrzej Tomala,"07/07/2022, 13:44:06",3.0,4.0,1.0,2.0,2.0,4.0,5.0,1.0,3.0,4.0,1.0,4.0,5.0,5.0,4.0,2.0,5.0,2.0,44.0,53.0,79.0,27.0,15.0,5.0,20.0,78.0,58.0,-1.0,-2.0,2.0,3.0,0.0,1.0,2.0,0.0,-3.0
Andrzej Tomala,"07/07/2022, 13:44:06",4.0,4.0,4.0,5.0,3.0,1.0,3.0,5.0,4.0,1.0,2.0,1.0,3.0,3.0,5.0,2.0,3.0,5.0,17.0,97.0,73.0,17.0,40.0,19.0,18.0,82.0,10.0,-3.0,1.0,-3.0,-3.0,2.0,-2.0,3.0,0.0,-1.0
Andrzej Tomala,"07/07/2022, 13:44:06",2.0,2.0,5.0,5.0,1.0,2.0,1.0,1.0,2.0,3.0,4.0,3.0,2.0,1.0,4.0,4.0,2.0,4.0,1.0,97.0,33.0,89.0,98.0,39.0,76.0,20.0,54.0,-3.0,0.0,-3.0,-3.0,-3.0,3.0,-2.0,-2.0,0.0
Andrzej Tomala,"07/07/2022, 13:44:06",5.0,4.0,1.0,5.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,5.0,2.0,3.0,3.0,1.0,1.0,19.0,14.0,44.0,1.0,27.0,96.0,64.0,2.0,8.0,-3.0,2.0,-1.0,3.0,-2.0,-1.0,-2.0,2.0,-2.0
Andrzej Tomala,"07/07/2022, 13:44:06",3.0,4.0,2.0,4.0,3.0,1.0,5.0,5.0,2.0,4.0,5.0,4.0,2.0,4.0,2.0,3.0,3.0,1.0,3.0,1.0,94.0,8.0,37.0,38.0,12.0,79.0,18.0,3.0,2.0,-2.0,0.0,-1.0,1.0,3.0,-1.0,-2.0
Andrzej Tomala,"07/07/2022, 13:44:06",3.0,1.0,4.0,2.0,4.0,2.0,1.0,1.0,3.0,5.0,3.0,3.0,1.0,3.0,1.0,4.0,5.0,2.0,51.0,21.0,62.0,4.0,88.0,73.0,79.0,43.0,63.0,-3.0,1.0,-1.0,3.0,3.0,-1.0,3.0,-3.0,2.0
Andrzej Tomala,"07/07/2022, 13:44:06",3.0,2.0,1.0,5.0,2.0,1.0,5.0,5.0,1.0,3.0,1.0,5.0,2.0,3.0,5.0,2.0,2.0,3.0,52.0,11.0,92.0,35.0,10.0,42.0,75.0,52.0,96.0,0.0,-1.0,3.0,-3.0,0.0,2.0,1.0,-3.0,-2.0
Andrzej Tomala,"07/07/2022, 13:44:06",4.0,2.0,5.0,4.0,4.0,5.0,2.0,1.0,3.0,5.0,1.0,2.0,5.0,5.0,5.0,4.0,4.0,5.0,80.0,34.0,59.0,28.0,49.0,15.0,79.0,83.0,65.0,3.0,3.0,3.0,0.0,-2.0,-3.0,0.0,-3.0,-3.0
Andrzej Tomala,"07/07/2022, 13:44:06",3.0,4.0,5.0,3.0,1.0,2.0,4.0,4.0,4.0,4.0,3.0,5.0,2.0,5.0,1.0,4.0,4.0,1.0,49.0,50.0,93.0,75.0,46.0,43.0,48.0,75.0,64.0,3.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,-2.0
Andrzej Tomala,"07/07/2022, 13:44:06",4.0,3.0,3.0,1.0,5.0,2.0,5.0,4.0,5.0,1.0,5.0,5.0,4.0,2.0,1.0,4.0,3.0,3.0,25.0,53.0,25.0,8.0,23.0,68.0,3.0,62.0,32.0,-2.0,-2.0,1.0,3.0,3.0,1.0,-3.0,-3.0,1.0
Andrzej Tomala,"07/07/2022, 13:44:06",4.0,1.0,3.0,5.0,3.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,4.0,4.0,1.0,1.0,5.0,2.0,55.0,55.0,78.0,44.0,12.0,57.0,2.0,1.0,45.0,3.0,-3.0,0.0,-3.0,3.0,2.0,0.0,2.0,2.0
Andrzej Tomala,"07/07/2022, 13:44:06",2.0,3.0,5.0,5.0,1.0,5.0,1.0,3.0,2.0,2.0,4.0,4.0,2.0,2.0,1.0,5.0,4.0,2.0,61.0,35.0,37.0,98.0,29.0,50.0,65.0,64.0,46.0,2.0,-1.0,2.0,-1.0,-1.0,-1.0,0.0,-2.0,-3.0
Andrzej Tomala,"07/07/2022, 13:44:06",4.0,3.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,1.0,2.0,5.0,2.0,5.0,3.0,3.0,3.0,3.0,33.0,23.0,18.0,46.0,87.0,40.0,98.0,20.0,63.0,3.0,3.0,0.0,-3.0,2.0,3.0,2.0,3.0,-2.0
Andrzej Tomala,"07/07/2022, 13:44:06",1.0,5.0,4.0,2.0,5.0,4.0,3.0,1.0,4.0,2.0,1.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0,43.0,90.0,61.0,51.0,65.0,47.0,12.0,71.0,55.0,-3.0,3.0,0.0,-1.0,-3.0,2.0,1.0,-3.0,2.0
Andrzej Tomala,"07/07/2022, 13:44:06",3.0,1.0,5.0,1.0,5.0,1.0,1.0,5.0,3.0,3.0,5.0,3.0,2.0,5.0,2.0,2.0,3.0,4.0,79.0,68.0,32.0,75.0,55.0,68.0,48.0,40.0,88.0,2.0,3.0,1.0,-1.0,0.0,2.0,0.0,-2.0,2.0
Andrzej Tomala,"07/07/2022, 13:44:06",1.0,3.0,2.0,4.0,5.0,3.0,2.0,2.0,1.0,4.0,1.0,1.0,2.0,5.0,4.0,2.0,1.0,4.0,29.0,5.0,34.0,12.0,14.0,60.0,96.0,7.0,23.0,-1.0,-1.0,-2.0,-1.0,3.0,1.0,0.0,-3.0,1.0
Andrzej Tomala,"07/07/2022, 13:44:06",1.0,1.0,2.0,4.0,5.0,2.0,5.0,2.0,5.0,3.0,5.0,5.0,3.0,2.0,5.0,3.0,4.0,5.0,21.0,78.0,11.0,53.0,16.0,83.0,18.0,45.0,73.0,0.0,-1.0,2.0,-3.0,1.0,3.0,1.0,-2.0,-3.0
Andrzej Tomala,"07/07/2022, 13:44:06",2.0,4.0,5.0,5.0,1.0,4.0,5.0,5.0,2.0,2.0,3.0,4.0,3.0,3.0,2.0,2.0,5.0,2.0,43.0,62.0,28.0,46.0,78.0,16.0,59.0,77.0,44.0,1.0,-3.0,1.0,2.0,-3.0,0.0,0.0,2.0,0.0
Andrzej Tomala,"07/07/2022, 13:44:06",5.0,2.0,5.0,4.0,5.0,2.0,5.0,3.0,5.0,3.0,1.0,3.0,2.0,5.0,4.0,1.0,3.0,3.0,97.0,98.0,93.0,67.0,17.0,53.0,6.0,39.0,60.0,0.0,-2.0,-1.0,1.0,1.0,3.0,0.0,-1.0,2.0
Andrzej Tomala,"07/07/2022, 13:44:06",2.0,3.0,4.0,1.0,2.0,4.0,4.0,1.0,2.0,5.0,2.0,2.0,4.0,3.0,3.0,1.0,1.0,1.0,29.0,61.0,17.0,3.0,81.0,14.0,81.0,77.0,3.0,0.0,3.0,0.0,-3.0,-1.0,-2.0,1.0,0.0,-3.0
Andrzej Tomala,"07/07/2022, 13:44:06",1.0,2.0,3.0,4.0,1.0,4.0,3.0,5.0,4.0,1.0,3.0,4.0,5.0,4.0,5.0,3.0,2.0,4.0,9.0,93.0,11.0,64.0,86.0,41.0,8.0,5.0,8.0,1.0,-3.0,-3.0,-1.0,0.0,-1.0,-2.0,-1.0,-2.0
Andrzej Tomala,"07/07/2022, 13:44:06",1.0,3.0,5.0,4.0,3.0,3.0,2.0,4.0,1.0,4.0,5.0,5.0,4.0,2.0,4.0,4.0,1.0,4.0,68.0,57.0,76.0,10.0,89.0,36.0,70.0,94.0,19.0,3.0,-1.0,-1.0,0.0,2.0,-3.0,0.0,-2.0,1.0
Andrzej Tomala,"07/07/2022, 13:44:06",5.0,5.0,4.0,3.0,2.0,3.0,5.0,3.0,1.0,1.0,3.0,1.0,3.0,3.0,3.0,4.0,1.0,5.0,70.0,45.0,73.0,61.0,32.0,28.0,22.0,99.0,21.0,-1.0,-3.0,-3.0,-3.0,-3.0,1.0,-1.0,0.0,2.0
Andrzej Tomala,"07/07/2022, 13:44:06",2.0,1.0,1.0,5.0,2.0,2.0,1.0,2.0,5.0,2.0,3.0,5.0,2.0,1.0,3.0,2.0,4.0,5.0,99.0,13.0,99.0,3.0,93.0,19.0,94.0,24.0,7.0,2.0,-3.0,-1.0,-3.0,0.0,1.0,0.0,-1.0,-1.0
Andrzej Tomala,"07/07/2022, 13:44:06",3.0,1.0,3.0,5.0,3.0,3.0,5.0,4.0,5.0,5.0,5.0,4.0,3.0,4.0,4.0,1.0,1.0,5.0,33.0,79.0,65.0,31.0,22.0,84.0,55.0,40.0,18.0,0.0,-3.0,-3.0,-2.0,-1.0,0.0,0.0,1.0,2.0
Andrzej Tomala,"07/07/2022, 13:44:06",2.0,5.0,4.0,3.0,1.0,2.0,5.0,2.0,4.0,4.0,1.0,5.0,1.0,1.0,5.0,3.0,1.0,3.0,35.0,78.0,43.0,34.0,30.0,87.0,94.0,56.0,43.0,-3.0,3.0,3.0,1.0,1.0,-1.0,-3.0,-1.0,-1.0
Andrzej Tomala,"07/07/2022, 13:44:06",2.0,3.0,1.0,5.0,5.0,5.0,3.0,4.0,3.0,4.0,2.0,1.0,2.0,4.0,4.0,3.0,1.0,2.0,79.0,81.0,13.0,86.0,89.0,92.0,63.0,32.0,99.0,-2.0,0.0,3.0,2.0,3.0,0.0,3.0,-2.0,1.0
Andrzej Tomala,"07/07/2022, 13:44:06",4.0,2.0,1.0,4.0,2.0,3.0,4.0,4.0,2.0,2.0,1.0,3.0,4.0,5.0,3.0,4.0,5.0,3.0,31.0,47.0,46.0,36.0,43.0,76.0,6.0,42.0,68.0,3.0,-3.0,-2.0,0.0,2.0,3.0,1.0,-2.0,1.0
Andrzej Tomala,"07/07/2022, 13:44:06",5.0,5.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,5.0,2.0,3.0,5.0,4.0,1.0,2.0,1.0,45.0,90.0,71.0,73.0,49.0,98.0,45.0,9.0,62.0,-1.0,3.0,-1.0,-2.0,2.0,3.0,-1.0,0.0,3.0
Andrzej Tomala,"07/07/2022, 13:44:06",3.0,4.0,3.0,1.0,2.0,3.0,4.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,4.0,2.0,5.0,5.0,34.0,77.0,8.0,7.0,33.0,98.0,78.0,80.0,98.0,3.0,-2.0,2.0,-3.0,1.0,3.0,3.0,-1.0,3.0
Andrzej Tomala,"07/07/2022, 13:44:06",1.0,3.0,1.0,5.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,5.0,2.0,2.0,4.0,3.0,2.0,4.0,89.0,94.0,69.0,78.0,43.0,31.0,97.0,98.0,71.0,-2.0,-1.0,3.0,-1.0,3.0,1.0,2.0,2.0,3.0
Andrzej Tomala,"07/07/2022, 13:44:06",5.0,2.0,5.0,2.0,4.0,3.0,2.0,4.0,3.0,5.0,1.0,5.0,4.0,1.0,1.0,4.0,1.0,3.0,98.0,69.0,93.0,89.0,39.0,94.0,23.0,77.0,78.0,-3.0,-2.0,3.0,0.0,1.0,-2.0,2.0,-1.0,-1.0
Andrzej Tomala,"07/07/2022, 13:44:06",1.0,1.0,5.0,1.0,2.0,4.0,4.0,4.0,4.0,5.0,3.0,1.0,3.0,2.0,2.0,3.0,2.0,2.0,90.0,9.0,26.0,73.0,31.0,40.0,96.0,65.0,42.0,-2.0,3.0,-3.0,2.0,0.0,2.0,2.0,0.0,2.0
Andrzej Tomala,"07/07/2022, 13:44:06",5.0,5.0,2.0,3.0,3.0,5.0,2.0,1.0,3.0,5.0,2.0,5.0,2.0,1.0,4.0,2.0,2.0,3.0,47.0,53.0,26.0,36.0,20.0,96.0,78.0,93.0,38.0,0.0,0.0,-2.0,1.0,2.0,3.0,3.0,2.0,1.0
Andrzej Tomala,"07/07/2022, 13:44:06",5.0,3.0,5.0,2.0,4.0,5.0,4.0,5.0,2.0,4.0,5.0,1.0,4.0,2.0,5.0,2.0,1.0,5.0,68.0,20.0,61.0,8.0,70.0,27.0,93.0,25.0,19.0,-2.0,-1.0,1.0,-1.0,1.0,1.0,-2.0,-3.0,0.0
Andrzej Tomala,"07/07/2022, 13:44:06",1.0,2.0,1.0,3.0,5.0,5.0,5.0,1.0,1.0,3.0,3.0,2.0,1.0,5.0,5.0,1.0,2.0,4.0,60.0,16.0,61.0,6.0,60.0,67.0,91.0,74.0,13.0,2.0,-3.0,-2.0,-3.0,-2.0,3.0,-1.0,0.0,-1.0
Andrzej Tomala,"07/07/2022, 13:44:06",3.0,5.0,4.0,3.0,4.0,2.0,4.0,4.0,5.0,4.0,4.0,1.0,2.0,4.0,5.0,4.0,2.0,3.0,40.0,30.0,27.0,29.0,47.0,3.0,8.0,86.0,21.0,3.0,1.0,-1.0,-3.0,0.0,-1.0,1.0,0.0,0.0
Andrzej Tomala,"07/07/2022, 13:44:06",2.0,1.0,1.0,4.0,1.0,2.0,1.0,4.0,5.0,1.0,2.0,4.0,5.0,2.0,2.0,2.0,2.0,1.0,22.0,86.0,8.0,34.0,35.0,19.0,7.0,73.0,28.0,-1.0,0.0,0.0,-2.0,-3.0,2.0,1.0,0.0,0.0
Andrzej Tomala,"07/07/2022, 13:44:06",5.0,4.0,1.0,4.0,4.0,1.0,2.0,3.0,3.0,3.0,5.0,1.0,1.0,1.0,3.0,4.0,3.0,2.0,91.0,55.0,77.0,66.0,41.0,86.0,41.0,97.0,65.0,-3.0,-1.0,2.0,2.0,3.0,-2.0,0.0,2.0,2.0
Andrzej Tomala,"07/07/2022, 13:44:06",5.0,5.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0,5.0,3.0,1.0,1.0,4.0,1.0,4.0,2.0,5.0,87.0,93.0,34.0,75.0,61.0,32.0,8.0,86.0,38.0,-1.0,0.0,1.0,0.0,-3.0,-1.0,-1.0,-3.0,-1.0
Andrzej Tomala,"07/07/2022, 13:44:06",2.0,5.0,5.0,3.0,4.0,1.0,3.0,2.0,4.0,4.0,3.0,3.0,2.0,4.0,5.0,2.0,5.0,5.0,21.0,96.0,38.0,35.0,41.0,55.0,32.0,96.0,62.0,3.0,3.0,-1.0,-1.0,-2.0,-2.0,1.0,-2.0,0.0
Andrzej Tomala,"07/07/2022, 13:44:06",4.0,4.0,4.0,4.0,3.0,2.0,1.0,3.0,3.0,5.0,1.0,1.0,5.0,5.0,4.0,1.0,5.0,3.0,47.0,79.0,83.0,50.0,16.0,31.0,19.0,83.0,16.0,-1.0,0.0,3.0,1.0,3.0,3.0,-1.0,0.0,0.0
Andrzej Tomala,"07/07/2022, 13:44:06",2.0,5.0,5.0,4.0,3.0,1.0,4.0,5.0,5.0,3.0,5.0,3.0,2.0,3.0,3.0,1.0,4.0,5.0,26.0,37.0,81.0,83.0,53.0,90.0,57.0,45.0,24.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,0.0,-2.0
Andrzej Tomala,"07/07/2022, 13:44:06",2.0,1.0,4.0,3.0,4.0,1.0,5.0,5.0,5.0,2.0,5.0,5.0,3.0,1.0,3.0,4.0,4.0,4.0,45.0,53.0,52.0,47.0,82.0,69.0,49.0,84.0,81.0,1.0,3.0,-1.0,-1.0,-1.0,3.0,-3.0,0.0,0.0
Andrzej Tomala,"07/07/2022, 13:44:06",3.0,3.0,5.0,2.0,1.0,3.0,2.0,2.0,4.0,4.0,3.0,4.0,3.0,2.0,3.0,2.0,5.0,3.0,27.0,22.0,50.0,74.0,50.0,36.0,19.0,77.0,46.0,1.0,2.0,2.0,2.0,0.0,1.0,3.0,3.0,-3.0
Andrzej Tomala,"07/07/2022, 13:44:06",1.0,4.0,3.0,5.0,4.0,5.0,5.0,4.0,5.0,1.0,2.0,4.0,1.0,2.0,4.0,2.0,5.0,5.0,35.0,11.0,35.0,50.0,4.0,58.0,37.0,1.0,11.0,0.0,-2.0,3.0,2.0,3.0,-1.0,0.0,3.0,-2.0
Andrzej Tomala,"07/07/2022, 13:44:06",4.0,2.0,5.0,2.0,5.0,2.0,3.0,3.0,1.0,1.0,3.0,5.0,3.0,4.0,5.0,1.0,5.0,3.0,89.0,7.0,66.0,68.0,84.0,4.0,57.0,91.0,61.0,2.0,-1.0,-3.0,0.0,-3.0,-3.0,-1.0,1.0,3.0
Andrzej Tomala,"07/07/2022, 13:44:06",2.0,1.0,1.0,2.0,5.0,4.0,3.0,3.0,5.0,5.0,2.0,3.0,1.0,2.0,3.0,2.0,2.0,1.0,63.0,84.0,92.0,37.0,98.0,96.0,84.0,77.0,50.0,-1.0,1.0,-1.0,2.0,2.0,-3.0,2.0,2.0,-1.0
Andrzej Tomala,"07/07/2022, 13:44:06",3.0,1.0,2.0,4.0,5.0,4.0,1.0,2.0,5.0,2.0,4.0,4.0,2.0,2.0,2.0,4.0,5.0,4.0,70.0,99.0,49.0,23.0,90.0,51.0,16.0,77.0,79.0,-3.0,0.0,-1.0,2.0,2.0,2.0,1.0,-1.0,-1.0
Andrzej Tomala,"07/07/2022, 13:44:06",2.0,3.0,5.0,5.0,4.0,3.0,1.0,4.0,1.0,2.0,5.0,3.0,5.0,5.0,4.0,1.0,3.0,5.0,13.0,18.0,73.0,52.0,70.0,3.0,99.0,30.0,14.0,-3.0,3.0,-2.0,1.0,-1.0,0.0,2.0,3.0,-1.0
Andrzej Tomala,"07/07/2022, 13:44:06",1.0,4.0,3.0,5.0,4.0,5.0,4.0,2.0,2.0,1.0,5.0,1.0,4.0,2.0,4.0,2.0,5.0,4.0,12.0,1.0,71.0,13.0,89.0,56.0,6.0,48.0,50.0,2.0,2.0,2.0,0.0,-2.0,2.0,1.0,-3.0,0.0
Andrzej Tomala,"07/07/2022, 13:44:06",2.0,4.0,1.0,3.0,3.0,3.0,5.0,4.0,5.0,4.0,5.0,1.0,1.0,4.0,3.0,2.0,2.0,1.0,35.0,27.0,61.0,54.0,58.0,25.0,40.0,6.0,91.0,1.0,1.0,-1.0,-3.0,1.0,3.0,1.0,-1.0,0.0
Andrzej Tomala,"07/07/2022, 13:44:06",3.0,4.0,4.0,3.0,5.0,2.0,5.0,3.0,2.0,3.0,4.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,43.0,82.0,45.0,6.0,83.0,42.0,70.0,36.0,6.0,0.0,3.0,2.0,0.0,-3.0,0.0,2.0,0.0,3.0
Andrzej Tomala,"07/07/2022, 13:44:06",1.0,3.0,1.0,3.0,2.0,5.0,3.0,3.0,4.0,2.0,3.0,1.0,1.0,5.0,4.0,3.0,3.0,2.0,43.0,76.0,72.0,46.0,75.0,70.0,50.0,33.0,86.0,1.0,1.0,0.0,2.0,3.0,2.0,0.0,1.0,2.0
Andrzej Tomala,"07/07/2022, 13:44:06",5.0,3.0,3.0,4.0,2.0,5.0,3.0,2.0,2.0,5.0,3.0,4.0,4.0,1.0,2.0,3.0,5.0,4.0,80.0,33.0,10.0,8.0,96.0,96.0,13.0,83.0,79.0,0.0,0.0,-2.0,0.0,0.0,-3.0,-1.0,2.0,3.0
Andrzej Tomala,"07/07/2022, 13:44:06",3.0,3.0,1.0,3.0,4.0,4.0,1.0,1.0,2.0,4.0,5.0,5.0,1.0,3.0,1.0,4.0,5.0,2.0,79.0,16.0,91.0,6.0,40.0,30.0,65.0,84.0,55.0,3.0,2.0,-1.0,-1.0,-1.0,2.0,3.0,-1.0,1.0
Andrzej Tomala,"07/07/2022, 13:44:06",1.0,3.0,1.0,5.0,3.0,4.0,2.0,1.0,3.0,1.0,5.0,5.0,2.0,3.0,1.0,4.0,4.0,1.0,27.0,60.0,81.0,32.0,75.0,1.0,92.0,8.0,10.0,-1.0,0.0,-3.0,1.0,-2.0,0.0,3.0,-3.0,2.0
Andrzej Tomala,"07/07/2022, 13:44:06",2.0,3.0,3.0,4.0,5.0,1.0,5.0,5.0,1.0,2.0,5.0,4.0,1.0,5.0,4.0,5.0,5.0,3.0,86.0,27.0,26.0,56.0,32.0,84.0,87.0,10.0,35.0,-1.0,3.0,-2.0,2.0,-2.0,2.0,-1.0,1.0,0.0
Andrzej Tomala,"07/07/2022, 13:44:06",3.0,3.0,4.0,5.0,2.0,2.0,5.0,3.0,5.0,4.0,5.0,1.0,2.0,4.0,1.0,1.0,4.0,4.0,77.0,76.0,57.0,97.0,64.0,23.0,69.0,90.0,18.0,-3.0,-1.0,2.0,-3.0,0.0,-3.0,3.0,-2.0,1.0
Andrzej Tomala,"07/07/2022, 13:44:06",2.0,3.0,5.0,2.0,2.0,1.0,3.0,3.0,2.0,4.0,3.0,5.0,3.0,2.0,2.0,1.0,2.0,4.0,11.0,11.0,64.0,42.0,38.0,91.0,82.0,65.0,5.0,2.0,3.0,-3.0,-1.0,2.0,0.0,2.0,3.0,3.0
Andrzej Tomala,"07/07/2022, 13:44:06",3.0,2.0,1.0,4.0,5.0,4.0,4.0,4.0,1.0,4.0,4.0,1.0,5.0,3.0,4.0,5.0,2.0,3.0,7.0,14.0,30.0,79.0,52.0,15.0,63.0,99.0,28.0,-2.0,2.0,-3.0,1.0,3.0,2.0,-3.0,1.0,-3.0
Andrzej Tomala,"07/07/2022, 13:44:06",4.0,3.0,4.0,4.0,4.0,5.0,3.0,1.0,5.0,1.0,4.0,1.0,5.0,4.0,2.0,5.0,5.0,1.0,55.0,63.0,58.0,87.0,32.0,69.0,94.0,58.0,71.0,3.0,-2.0,0.0,2.0,3.0,3.0,1.0,2.0,-2.0
Andrzej Tomala,"07/07/2022, 13:44:06",3.0,4.0,1.0,3.0,5.0,3.0,2.0,5.0,1.0,3.0,3.0,4.0,4.0,1.0,1.0,4.0,3.0,4.0,65.0,43.0,58.0,82.0,17.0,33.0,91.0,58.0,19.0,-3.0,-2.0,-2.0,0.0,0.0,3.0,2.0,3.0,-2.0
Andrzej Tomala,"07/07/2022, 13:44:06",2.0,5.0,5.0,3.0,3.0,3.0,4.0,5.0,4.0,5.0,3.0,1.0,3.0,4.0,3.0,2.0,5.0,4.0,50.0,82.0,75.0,2.0,71.0,49.0,29.0,51.0,90.0,-3.0,2.0,2.0,1.0,3.0,3.0,-1.0,-3.0,2.0
Andrzej Tomala,"07/07/2022, 13:44:06",4.0,5.0,4.0,2.0,2.0,5.0,2.0,2.0,1.0,3.0,3.0,3.0,5.0,5.0,2.0,4.0,1.0,1.0,1.0,33.0,68.0,80.0,91.0,84.0,12.0,10.0,92.0,1.0,-1.0,-3.0,3.0,2.0,1.0,0.0,1.0,1.0
Andrzej Tomala,"07/07/2022, 13:44:06",4.0,4.0,5.0,4.0,2.0,2.0,1.0,1.0,2.0,5.0,1.0,3.0,4.0,2.0,5.0,3.0,3.0,3.0,93.0,61.0,9.0,48.0,49.0,76.0,45.0,71.0,44.0,-2.0,-3.0,2.0,-3.0,-1.0,2.0,2.0,2.0,0.0
Andrzej Tomala,"07/07/2022, 13:44:06",3.0,4.0,1.0,5.0,4.0,1.0,4.0,1.0,2.0,4.0,5.0,3.0,4.0,4.0,2.0,1.0,3.0,1.0,22.0,23.0,48.0,69.0,41.0,79.0,19.0,36.0,40.0,2.0,1.0,1.0,1.0,0.0,3.0,-1.0,-2.0,1.0
Andrzej Tomala,"07/07/2022, 13:44:06",4.0,3.0,5.0,3.0,3.0,4.0,4.0,3.0,3.0,5.0,5.0,4.0,2.0,5.0,1.0,2.0,5.0,3.0,98.0,63.0,62.0,43.0,28.0,95.0,14.0,2.0,25.0,1.0,-2.0,1.0,2.0,0.0,1.0,-3.0,2.0,-3.0
Andrzej Tomala,"07/07/2022, 13:44:06",2.0,2.0,5.0,1.0,2.0,4.0,1.0,2.0,1.0,2.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,3.0,67.0,11.0,4.0,13.0,22.0,16.0,16.0,37.0,93.0,2.0,0.0,-2.0,3.0,2.0,3.0,-2.0,0.0,2.0
Andrzej Tomala,"07/07/2022, 13:44:06",2.0,3.0,1.0,5.0,2.0,4.0,2.0,2.0,5.0,5.0,2.0,2.0,3.0,5.0,2.0,2.0,2.0,3.0,41.0,92.0,9.0,81.0,83.0,40.0,6.0,19.0,87.0,1.0,3.0,-2.0,-3.0,-2.0,-2.0,1.0,3.0,-3.0
Andrzej Tomala,"07/07/2022, 13:44:06",3.0,3.0,3.0,1.0,3.0,4.0,5.0,3.0,3.0,1.0,2.0,4.0,3.0,4.0,2.0,1.0,5.0,1.0,27.0,96.0,65.0,57.0,88.0,44.0,22.0,37.0,23.0,0.0,3.0,3.0,-2.0,-1.0,-2.0,-3.0,0.0,-2.0
Andrzej Tomala,"07/07/2022, 13:44:06",3.0,2.0,4.0,3.0,2.0,1.0,1.0,4.0,4.0,3.0,3.0,5.0,4.0,4.0,3.0,1.0,1.0,1.0,92.0,23.0,82.0,19.0,40.0,64.0,99.0,58.0,64.0,2.0,1.0,-2.0,0.0,2.0,2.0,1.0,-3.0,3.0
Andrzej Tomala,"07/07/2022, 13:44:06",2.0,4.0,1.0,2.0,3.0,2.0,5.0,4.0,3.0,2.0,5.0,3.0,2.0,4.0,4.0,3.0,4.0,1.0,19.0,35.0,39.0,61.0,34.0,2.0,44.0,68.0,25.0,3.0,0.0,2.0,-1.0,0.0,-2.0,0.0,0.0,1.0
Andrzej Tomala,"07/07/2022, 13:44:06",1.0,2.0,5.0,3.0,5.0,2.0,2.0,4.0,4.0,4.0,1.0,4.0,5.0,3.0,5.0,5.0,4.0,2.0,82.0,74.0,78.0,96.0,64.0,54.0,34.0,38.0,41.0,-2.0,-3.0,2.0,1.0,3.0,0.0,1.0,2.0,-2.0
